,lifetime_pnl_pct,abs_lifetime_pnl_pct,n_months_active
LSCG,32.60730367807898,32.60730367807898,82
PTIX,12.152992525613843,12.152992525613843,115
FTBK,11.127316632914868,11.127316632914868,29
APLD,9.679189390511361,9.679189390511361,145
TPST,5.589469354060241,5.589469354060241,32
WHCI,5.423881673881673,5.423881673881673,32
VLTC,5.361876657574716,5.361876657574716,78
SNMP,5.268094498004416,5.268094498004416,59
OCGN,4.860225443391545,4.860225443391545,33
HDLM,4.7827016774707065,4.7827016774707065,39
SLNO,4.154808658459254,4.154808658459254,23
EVTV,3.8200838187367006,3.8200838187367006,57
DWRI,3.4696580432858566,3.4696580432858566,30
FFAI,3.451989361052057,3.451989361052057,37
TELL,3.3908931047978146,3.3908931047978146,61
AOBI,3.138633451259428,3.138633451259428,59
EXPR,-2.9242920723061707,2.9242920723061707,40
DJT,2.7358900955557552,2.7358900955557552,15
CCME,2.7232552800734617,2.7232552800734617,20
FTEK,-2.559617629858346,2.559617629858346,31
BNBX,2.5479019914181777,2.5479019914181777,58
MTBLY,2.492216636498394,2.492216636498394,46
GYRE,2.4782191904785567,2.4782191904785567,31
LEU,2.47735318812864,2.47735318812864,116
WAVE1,2.453240533992741,2.453240533992741,17
QUBT,2.4514348682655345,2.4514348682655345,21
SES,2.390503102718383,2.390503102718383,7
BNGO,-2.3867377898365256,2.3867377898365256,10
NOVC,2.369768976946702,2.369768976946702,110
AEHR,2.3638366778804922,2.3638366778804922,53
FRGT,-2.3340304039784496,2.3340304039784496,68
INUV,2.3266593415824657,2.3266593415824657,84
FALC,2.209205339654037,2.209205339654037,89
ISPO,2.1654585668915387,2.1654585668915387,19
ASXC,2.1432156300913214,2.1432156300913214,31
BETR,2.0686830815176487,2.0686830815176487,23
GCTS,2.0553953044482873,2.0553953044482873,13
PLUG,2.0483534501411786,2.0483534501411786,46
SOUN,1.9249615177976482,1.9249615177976482,18
PLL,1.8542422612662166,1.8542422612662166,44
LFIN,1.838989365155744,1.838989365155744,40
QBTS,1.8233722810778004,1.8233722810778004,21
CIVI,-1.8216249444076844,1.8216249444076844,29
VNCE,1.819557469869655,1.819557469869655,29
CLDX,1.813826826009845,1.813826826009845,21
SGMO,1.8117941496734873,1.8117941496734873,8
RGS,1.8099183463630288,1.8099183463630288,40
WULF,1.7735443625382832,1.7735443625382832,69
ARCT,1.7590728016826571,1.7590728016826571,32
BCDA,-1.7359977304435357,1.7359977304435357,48
